                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3126,                 3.6151,                 1.7115,                 0.5358,                0.32024,                0.31143,                0.21164,                 1.1844,                 2.5199,                 1.5242,             9.7939e-05,             9.7939e-05,             9.7939e-05
                      2,                 1.1554,                 2.5327,                 1.5255,                0.50184,                0.43976,                0.44666,                0.30065,                 1.1994,                 2.0733,                 1.5084,             0.00017654,             0.00017654,             0.00017654
                      3,                 1.0878,                 2.0798,                 1.4479,                0.55588,                0.44323,                0.46399,                0.31037,                 1.1964,                 2.0392,                 1.5075,             0.00023574,             0.00023574,             0.00023574
                      4,                 1.0409,                 1.7726,                 1.4043,                0.57933,                0.49903,                0.52441,                0.35456,                 1.1903,                 1.8321,                 1.4563,             0.00020668,             0.00020668,             0.00020668
                      5,                 1.0035,                 1.5847,                  1.372,                0.60104,                0.50209,                0.53481,                 0.3604,                 1.2059,                 1.8418,                 1.4929,             0.00020668,             0.00020668,             0.00020668
                      6,                0.96245,                 1.4107,                  1.333,                0.65388,                0.52064,                0.57112,                0.39208,                 1.1632,                 1.7533,                 1.4434,             0.00017758,             0.00017758,             0.00017758
                      7,                0.92145,                 1.2847,                 1.3003,                0.65624,                0.55263,                0.59571,                0.41055,                 1.1554,                 1.6192,                 1.4278,             0.00014847,             0.00014847,             0.00014847
                      8,                0.89528,                 1.1718,                 1.2719,                 0.6399,                0.56043,                0.59637,                0.41787,                 1.1325,                 1.6497,                 1.4094,             0.00011936,             0.00011936,             0.00011936
                      9,                0.86197,                 1.0762,                 1.2474,                0.67125,                0.55437,                0.58899,                0.40386,                 1.1746,                 1.6505,                 1.4706,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     10,                0.83834,                  1.013,                 1.2301,                0.71604,                0.55607,                0.61906,                0.43726,                 1.1204,                 1.5792,                 1.4081,             6.1152e-05,             6.1152e-05,             6.1152e-05
