                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3963,                 3.8082,                 1.8037,                0.51509,                0.40424,                0.41849,                0.30214,                 1.0679,                 2.0105,                  1.419,             2.9315e-05,             2.9315e-05,             2.9315e-05
                      2,                 1.1121,                 1.9054,                 1.4776,                0.58999,                0.53447,                0.55576,                0.39192,                 1.0775,                 1.5876,                 1.3688,             5.2842e-05,             5.2842e-05,             5.2842e-05
                      3,                  1.012,                 1.4412,                 1.3815,                0.63989,                0.55905,                 0.6027,                0.42614,                 1.0702,                 1.5126,                 1.3694,             7.0561e-05,             7.0561e-05,             7.0561e-05
                      4,                0.95347,                 1.2107,                 1.3342,                0.69476,                0.60131,                0.66364,                0.46955,                 1.0732,                 1.3798,                 1.3559,             6.1864e-05,             6.1864e-05,             6.1864e-05
                      5,                0.90742,                 1.0634,                 1.2956,                0.71888,                0.61197,                 0.6734,                0.47674,                 1.0984,                 1.3826,                 1.3675,             6.1864e-05,             6.1864e-05,             6.1864e-05
                      6,                0.87099,                0.94986,                 1.2623,                0.76327,                0.63155,                0.70042,                0.50732,                 1.0393,                 1.3135,                 1.3253,             5.3152e-05,             5.3152e-05,             5.3152e-05
                      7,                0.83194,                0.86142,                 1.2317,                0.76334,                 0.6245,                0.70358,                 0.5083,                   1.04,                 1.2961,                 1.3307,              4.444e-05,              4.444e-05,              4.444e-05
                      8,                0.80521,                0.79274,                 1.2071,                0.78995,                0.62483,                0.71538,                0.51837,                   1.03,                 1.2317,                 1.3141,             3.5728e-05,             3.5728e-05,             3.5728e-05
                      9,                 0.7738,                  0.728,                  1.184,                0.75844,                0.64779,                 0.7083,                0.51543,                 1.0252,                 1.2365,                 1.3137,             2.7016e-05,             2.7016e-05,             2.7016e-05
                     10,                0.75497,                0.69483,                 1.1736,                0.77031,                0.64867,                0.71911,                0.52403,                  1.014,                 1.2324,                 1.3019,             1.8304e-05,             1.8304e-05,             1.8304e-05
